Unit,ID,Entry,Row,Range,ReplicationTOS,TRT,RepRow,Variety,Type,TOS,Plotname,subset
67,V58,58,27,7,2,58,2,Grenade CL Plus,TL,7,V58 (Grenade CL Plus),
68,V19,19,28,7,1,19,2,Catalina,TL,7,V19 (Catalina),
69,V12,12,29,7,1,12,2,Baudin,TL,7,V12 (Baudin),
70,V60,60,30,7,2,60,2,H45,TL,7,V60 (H45),
71,V92,92,21,8,1,92,1,Westminster,TL,7,V92 (Westminster),
72,V46,46,22,8,2,46,1,EGA_Wedgetail,TL,7,V46 (EGA_Wedgetail),
73,V27,27,23,8,1,27,1,CSIROW005,TL,7,V27 (CSIROW005),
74,V45,45,24,8,2,45,1,EGA_Hume,TL,7,V45 (EGA_Hume),
75,V21,21,25,8,1,21,1,Compass,TL,7,V21 (Compass),
76,V50,50,26,8,2,50,2,Fathom,TL,7,V50 (Fathom),
77,V84,84,27,8,1,84,2,Strzelecki,TL,7,V84 (Strzelecki),
78,V38,38,28,8,1,38,2,CSIROW102,TL,7,V38 (CSIROW102),
79,V2,2,29,8,2,2,2,Beaufort,Control,7,V2 (Beaufort),
80,V83,83,30,8,1,83,2,Stirling,TL,7,V83 (Stirling),
81,V37,37,21,9,1,37,1,CSIROW087,TL,7,V37 (CSIROW087),
82,V33,33,22,9,1,33,1,CSIROW027,TL,7,V33 (CSIROW027),
83,V52,52,23,9,2,52,1,Flinders,TL,7,V52 (Flinders),
84,V72,72,24,9,1,72,1,Ouyen,TL,7,V72 (Ouyen),
85,V3,3,25,9,1,3,1,Lancer,Control,7,V3 (Lancer),
86,V10,10,26,9,1,10,2,Banks,TL,7,V10 (Banks),
87,V49,49,27,9,2,49,2,Emu_Rock,TL,7,V49 (Emu_Rock),
88,V65,65,28,9,1,65,2,Lockyer,TL,7,V65 (Lockyer),
89,V88,88,29,9,1,88,2,Sunstate,TL,7,V88 (Sunstate),
90,V44,44,30,9,2,44,2,EGA_Gregory,TL,7,V44 (EGA_Gregory),
91,V17,17,21,10,1,17,1,Capstan,TL,7,V17 (Capstan),
92,V2,2,22,10,2,2,1,Beaufort,Control,7,V2 (Beaufort),
93,V7,7,23,10,1,7,1,AGT_Scythe,TL,7,V7 (AGT_Scythe),
94,V49,49,24,10,2,49,1,Emu_Rock,TL,7,V49 (Emu_Rock),
95,V39,39,25,10,1,39,1,CSIROW105,TL,7,V39 (CSIROW105),
96,V41,41,26,10,1,41,2,Dash,TL,7,V41 (Dash),
97,V54,54,27,10,2,54,2,Franklin,TL,7,V54 (Franklin),
98,V80,80,28,10,1,80,2,Scout,TL,7,V80 (Scout),
99,V62,62,29,10,2,62,2,Keel,TL,7,V62 (Keel),
100,V14,14,30,10,1,14,2,Bolac,TL,7,V14 (Bolac),
101,V59,59,21,11,2,59,1,Grout,TL,7,V59 (Grout),
102,V91,91,22,11,1,91,1,Urambie,TL,7,V91 (Urambie),
103,V47,47,23,11,2,47,1,EGA_Wills,TL,7,V47 (EGA_Wills),
104,V69,69,24,11,1,69,1,Merinda,TL,7,V69 (Merinda),
105,V74,74,25,11,1,74,1,Peake,TL,7,V74 (Peake),
106,V1,1,26,11,2,1,2,RGT Planet,Control,7,V1 (RGT Planet),
107,V9,9,27,11,1,9,2,Axe,TL,7,V9 (Axe),
